name,release date,stockx search,
Rocks Tee,6/28/2018,supreme-Rocks-Tee-black,159
Mona Lisa Tee,6/28/2018,supreme-Mona-Lisa-Tee-black,174
Tentacles Tee,6/28/2018,supreme-Tentacles-Tee-black,128
Swimmers Tee,6/28/2018,supreme-Swimmers-Tee-black,82
Ganesha Tee,6/28/2018,supreme-Ganesha-Tee-black,69
Hardware Tee,6/28/2018,supreme-Hardware-Tee-black,80
Gonz Logo Tee,6/28/2018,supreme-Gonz-Logo-Tee-black,59
