Name,Date,Average,Retail,Search,White sold,White price,Black sold,Black price,Red sold,Red price,Navy sold,Navy price,Grey sold,Grey price
Supreme/Hellraiser Hell on Earth Tee,4/26/2018,51.62637363,44,supreme-hellraiser-hell-on-earth-tee-black,27,46,64,54,,,,,,
Supreme/Hellraiser Pinhead Tee,4/26/2018,50.93939394,44,supreme-hellraiser-pinhead-tee-black,20,37,46,57,,,,,,
Dream Tee,5/31/2018,60.88888889,44,supreme-Dream-Tee-black,2,29,6,79,,,,,,
Supreme®/Spitfire® Classic Swirl T-Shirt,6/21/2018,29.5204918,44,supreme-spitfire-classic-swirl-t-shirt-black,83,37,92,23,28,27,,,,
Supreme®/Spitfire® Cat T-Shirt,6/21/2018,25.04597701,44,supreme-spitfire-cat-t-shirt-black,13,40,39,27,13,14,,,,
Rocks Tee,6/28/2018,97.15855856,36,supreme-Rocks-Tee-black-ss18,125,123,200,123,51,62,,,,
Mona Lisa Tee,6/28/2018,98.16240876,36,supreme-Mona-Lisa-Tee-black-ss18,151,93,198,138,37,87,,,74,55
Tentacles Tee,6/28/2018,82.58648649,36,supreme-Tentacles-Tee-black-ss18,84,111,142,92,29,53,,,45,64
Swimmers Tee,6/28/2018,42.40892193,36,supreme-Swimmers-Tee-black-ss18,68,38,114,46,19,32,,,32,29
Ganesha Tee,6/28/2018,34.66190476,36,supreme-Ganesha-Tee-black-ss18,48,40,80,33,,,,,30,25
Hardware Tee,6/28/2018,28.112,40,supreme-Hardware-Tee-black-ss18,21,47,40,39,17,7,12,24,,
Gonz Logo Tee,6/28/2018,20.10377358,36,supreme-Gonz-Logo-Tee-black-ss18,19,20,39,23,13,18,,,7,22
Madonna Tee,8/16/2018,84.73923639,48,supreme-Madonna-Tee-black,214,119,300,130,121,47,125,66,150,61
Liquid Tee,8/16/2018,46.90930788,36,supreme-Liquid-Tee-black,69,52,131,58,,,23,40,,
Still Life Tee,8/16/2018,29.79778393,36,supreme-Still-Life-Tee-black,54,26,99,46,61,13,36,25,40,23
1994 L/S Tee,8/16/2018,55.15294118,40,supreme-1994-ls-Tee-black,21,62,62,58,7,42,12,58,24,48
